Reservoir,Reservoir_type,Year,Cyanobacteria_Max_cells/ml,logCyanoMax_cells/ml,Chlorophyll_a_ug/l,Secchi_cm,TP_ppb,P_dissolved_ppb,TKN_ppm,NH3_ppm,NOx_ppm,TOC_ppm,Alkalinity_ppm,NH36to8inflow_ppm,TKN6to8inflow_ppm,NOx6to8inflow_ppm,TP6to8inflow_ppb,TOC6to8inflow_ppm,Summer_precip_inches,Summer_precip_Z-score,mayST_Celsius,junST_Celsius,julST_Celsius,augST_Celsius,mayDO_mg/l,junDO_mg/l,mayDT_Celsius,junDT_Celsius,julDT_Celsius,augDT_Celsius
BVR,2,2010,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8.15,-0.897,17.69,25.72,28.54,28.62,6.64,1.76,11.95,16.81,22.27,21.82
BVR,2,2011,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7.58,-1.057,na,na,na,na,na,na,na,na,na,na
BVR,2,2012,128912.5,5.11,na,59,24.3,na,0.59,0.015,0.886,2.38,153.3,0,0.39,0.89,43,2.5,7.56,-1.063,na,25.79,na,na,na,4.21,na,9.86,na,na
BVR,2,2013,3824455.9,6.583,6.14,97,36.3,na,na,0.024,0.187,4.4,150,0.02,na,0.25,43,1.8,7.5,-1.08,na,na,na,na,na,na,na,na,na,na
BVR,2,2014,38359.4,4.584,na,35,na,na,na,na,na,na,na,0.092,1,1.41,38.6,2.9,12.75,0.396,na,na,na,25.33,na,na,na,na,na,18.44
BVR,2,2015,202880.1,5.307,9.24,35,27,na,1.7,0.125,1.435,5.2,na,0.214,0.9,2.38,9,4.4,15.74,1.236,na,na,25.64,26.66,na,na,na,na,17.99,21.91
BVR,2,2016,901215.4,5.955,9.15,52,42.8,na,0.656,0.028,0.028,7.94,na,0.018,0.399,0.623,107,5.9,14.4,0.86,16.19,24.65,26.89,29.16,6.01,2.9,11.38,12.58,13.42,14.12
BVR,2,2017,1388807.7,6.143,6.75,76,62.4,27,0.722,0.116,1.578,6.1,180.3,0.092,0.34,2.95,60,4.4,13.98,0.742,17.96,23.59,26.61,26.65,6.05,2.06,13.27,16.87,21.61,23.2
BVR,2,2018,239695.5,5.38,4.75,156,70.6,55.3,0.618,0.15,0.738,4.91,157,0.137,0.277,0.952,93,3.4,14.49,0.885,21.03,27.59,27.5,28.33,10.08,4.7,10.58,11.81,13.85,13.61
CBR,3,1987,na,na,26.38,46,18.6,6.142857143,0.429,0.157,0.986,2.36,186.7,0,0.258,4.133,14.8,2.6,9.67,-0.637,na,na,na,na,na,na,na,na,na,na
CBR,3,1988,na,na,54,30,34,na,0.9,0.05,0.2,4,161.5,0,0.233,3.08,9.7,2,8.98,-0.849,na,na,na,na,na,na,na,na,na,na
CBR,3,1989,na,na,1.75,75,17.5,5,0.5,0.1,1.9,6,196.5,0.125,0.475,5.675,69.8,4.3,13.86,0.655,14.8,22.99,26.13,23.95,5.41,2.72,12.77,18.59,19.89,21.48
CBR,3,1990,na,na,4.67,36,na,na,na,na,na,na,na,na,na,na,na,na,16.11,1.349,16.21,20.2,23.51,24.49,8.55,na,14.28,18.09,19.83,21.19
CBR,3,1991,na,na,na,na,na,na,na,0.05,na,4,7.9,0,0.14,1.31,108,2.8,5.4,-1.953,17.97,24.98,26.85,23.28,-0.09,0.09,13.37,17.13,19.22,20.76
CBR,3,1992,7774.5,3.891,15.01,36,90,45,0.8,0.2,0.4,4.75,86,0.125,0.75,1.863,45,3.8,12,0.082,15.31,20.3,23.86,24.28,7.96,2.83,14.86,15.44,19.67,21.59
CBR,3,1993,28703.7,4.458,13.37,31.5,na,na,na,na,na,na,178.5,na,na,na,na,na,13.1,0.421,16.68,21.97,26.25,25.48,4.94,3.75,13.12,18.15,23.65,22.77
CBR,3,1994,na,na,20.28,33.5,na,na,na,na,na,10.4,na,na,na,na,na,10.2,11.8,0.02,15.37,24.13,25.09,23.94,7.68,0.79,14.24,18.74,21.41,22.4
CBR,3,1995,612.7,2.787,8.88,44,na,na,na,na,na,9.67,173,na,na,na,na,14.7,13.52,0.55,15.7,22,25.48,27.6,8.54,4.91,13.93,17.88,20.51,22.77
CBR,3,1996,na,na,na,33,na,na,na,na,na,6.4,140,na,na,3.505,na,3.1,12.5,0.236,14.73,21.36,24.99,24.6,13.24,3.27,15.12,18.91,22.46,23.38
CBR,3,1997,na,na,22.99,38.4,na,19.2,na,na,0.584,8.33,na,na,na,2.695,na,11,16.45,1.454,13.88,19.87,25.56,24.16,7.65,4.71,13.91,18.27,23.62,23.92
CBR,3,1998,17563.8,4.245,51.46,33.3,na,na,na,na,na,na,na,na,na,na,na,na,11.37,-0.113,20.41,22.97,25.76,25.88,1.65,2.89,15.31,20.13,24.02,24.95
CBR,3,1999,34547.7,4.538,na,40.7,28,5,1.1,na,0.025,4.92,130,na,0.275,3.45,15,2.4,7.4,-1.337,18.56,23.36,27.3,25.23,4.73,1.05,15.94,20.18,23.71,24.79
CBR,3,2000,43475.8,4.638,na,32,na,na,na,na,na,na,na,na,na,na,na,na,14.66,0.902,18.5,23.55,24.57,23.98,5.64,2.64,16.41,21.31,23.51,23.94
CBR,3,2001,191.5,2.282,na,66,na,na,na,na,na,na,na,na,na,na,na,na,13,0.39,19.35,23.21,25.6,26.24,3.64,3.35,16.04,17.54,22.93,24.66
CBR,3,2002,8326.5,3.92,na,46,na,na,na,na,na,na,na,na,na,na,na,na,7.79,-1.216,16.21,23.71,26.61,26.34,8.73,4.2,14.64,19.93,22.93,25.7
CBR,3,2003,26612.4,4.425,na,40,na,na,na,na,na,na,na,na,na,na,na,na,19.07,2.261,17.35,20.77,25.1,25.91,7.6,6.75,16.83,19.36,23.13,24.01
